CrimeID,CrimeCategory,CrimeType,Latitude,Longitude,CrimeDate,CrimeTime,Severity
VEH-210601-722,Kidnapping,Vehicle Abduction,28.480322117607024,77.00587049012407,2021-06-01,03:57:46,5
TOL-210204-485,Fraud,Toll Booth Fraud,28.421001581076393,77.05195323269346,2021-02-04,18:14:21,2
PAR-211114-405,Robbery,Parking Lot Robbery,28.444682527276566,77.05218275303379,2021-11-14,02:23:28,4
INS-210122-978,Fraud,Insurance Scam,28.42501772577006,77.07682422310378,2021-01-22,04:01:03,3
HIG-210323-873,Kidnapping,Highway Kidnapping,28.468696489044525,76.99998164866533,2021-03-23,17:42:42,5
TAR-211126-344,Hate Crimes,Targeted Assault,28.46559672582099,76.98651909138542,2021-11-26,11:09:20,5
VEH-211211-735,Vandalism,Vehicle Damage,28.450734178408126,77.03498414265674,2021-12-11,11:34:39,2
REC-210906-501,Traffic Violation,Reckless Driving,28.439198227214902,77.06394452466067,2021-09-06,07:51:22,3
VEH-210601-982,Vandalism,Vehicle Damage,28.49798812606859,77.03869603969228,2021-06-01,17:53:18,2
HIG-210323-080,Kidnapping,Highway Kidnapping,28.485028883650305,77.00517687479329,2021-03-23,22:10:42,5
ROA-211123-377,Vandalism,Road Sign Graffiti,28.490824618339122,77.01481035579206,2021-11-23,00:48:30,1
ACC-210106-732,Hit-and-Run,Accident Fleeing,28.495920531746794,77.01764334593535,2021-01-06,06:55:52,4
MUG-211126-867,Robbery,Mugging,28.458938943878664,76.99334346400738,2021-11-26,13:33:51,4
VEH-210323-750,Kidnapping,Vehicle Abduction,28.463361226921506,77.0101268870168,2021-03-23,20:05:20,5
DRA-210528-795,Illegal Street Racing,Drag Racing,28.49241131351673,76.99273354762856,2021-05-28,09:37:25,3
PUB-210612-015,Drug Trafficking,Public Intoxication,28.457264781259028,77.0279857134838,2021-06-12,12:27:31,1
INS-210808-178,Fraud,Insurance Scam,28.496635777445647,77.03531216535862,2021-08-08,04:40:48,3
HUM-210525-699,Drug Trafficking,Human Trafficking,28.43713279310094,77.07660658087754,2021-05-25,00:28:53,5
PED-210428-160,Assault,Pedestrian Attack,28.467216313714093,77.06001065314864,2021-04-28,20:02:21,5
VER-210510-075,Assault,Verbal Altercation,28.49025237441843,77.00871500679521,2021-05-10,11:35:05,2
ILL-210421-017,Obstruction,Illegal Vending,28.476594902582573,77.04660255911492,2021-04-21,10:50:47,1
REC-210703-216,Traffic Violation,Reckless Driving,28.501827892943194,77.0447173331527,2021-07-03,03:56:41,3
DAN-211020-968,Illegal Street Racing,Dangerous Driving,28.47498259145824,77.05090788867062,2021-10-20,15:52:37,4
ACC-210210-708,Hit-and-Run,Accident Fleeing,28.488718022690204,77.07039700401306,2021-02-10,15:13:48,4
BLO-210725-063,Obstruction,Blocking Pedestrian Path,28.484868860180505,77.02806807257849,2021-07-25,08:30:41,1
STA-210501-465,Loitering and Harassment,Stalking,28.471338125560155,77.02061401271489,2021-05-01,13:42:00,4
ILL-211017-035,Obstruction,Illegal Vending,28.500791104197273,76.99154410644354,2021-10-17,19:18:46,1
STR-210705-950,Loitering and Harassment,Street Harassment,28.481457939572696,77.01876173649899,2021-07-05,07:46:26,3
STE-210317-885,Theft,Stealing from Vehicle,28.42333729327773,77.01986800834341,2021-03-17,16:46:10,3
STR-210101-374,Loitering and Harassment,Street Harassment,28.444830758384477,77.02680703784571,2021-01-01,15:55:22,3
ARM-211220-326,Robbery,Armed Robbery,28.46353979568343,77.04488983503153,2021-12-20,23:11:27,5
DRU-210504-816,Traffic Violation,Drunk Driving,28.430059211996614,77.03988741881659,2021-05-04,17:38:13,4
TOL-210121-712,Fraud,Toll Booth Fraud,28.422134542279892,77.01373832131178,2021-01-21,19:10:50,2
INJ-210114-840,Hit-and-Run,Injury Escape,28.501706124794172,77.03423912568957,2021-01-14,21:07:15,5
DRA-211128-729,Illegal Street Racing,Drag Racing,28.450968408232843,77.02041353555822,2021-11-28,15:48:31,3
STA-210501-686,Loitering and Harassment,Stalking,28.44199919095428,77.06894051755111,2021-05-01,03:59:11,4
STE-211128-873,Theft,Stealing from Vehicle,28.50069923557948,77.0249505330896,2021-11-28,13:31:11,3
HIG-210828-113,Kidnapping,Highway Kidnapping,28.448714553887648,77.01191314177953,2021-08-28,20:44:00,5
SEX-211228-595,Sexual Crime,Sexual Assault,28.4380647045948,77.07382137888155,2021-12-28,12:52:22,5
PUB-211017-105,Drug Trafficking,Public Intoxication,28.448346467814535,77.00215920174801,2021-10-17,16:05:51,1
DAN-210824-807,Illegal Street Racing,Dangerous Driving,28.4812024061648,77.0085319740913,2021-08-24,15:41:08,4
TAR-210814-380,Hate Crimes,Targeted Assault,28.484465238065575,77.01933447037644,2021-08-14,05:02:11,5
STA-211008-471,Loitering and Harassment,Stalking,28.459026328327962,77.07500981823834,2021-10-08,00:04:27,4
BLO-211216-880,Obstruction,Blocking Pedestrian Path,28.44111778857352,77.06394546943214,2021-12-16,03:37:27,1
INS-210421-855,Fraud,Insurance Scam,28.492597301471804,77.00669337477764,2021-04-21,12:30:15,3
PUB-210814-896,Drug Trafficking,Public Intoxication,28.477672068641436,77.03675147619725,2021-08-14,05:10:09,1
INS-211122-724,Fraud,Insurance Scam,28.501964804596135,77.02893828252678,2021-11-22,21:29:05,3
VEH-210925-885,Kidnapping,Vehicle Abduction,28.49716225961814,77.05940121739782,2021-09-25,20:36:33,5
PIC-210414-399,Theft,Pickpocketing,28.459102842846786,76.98488923125868,2021-04-14,10:50:07,2
VEH-210925-391,Kidnapping,Vehicle Abduction,28.494571490312218,77.02792844812781,2021-09-25,21:46:17,5
VER-211102-032,Assault,Verbal Altercation,28.48854111407148,77.01583111107648,2021-11-02,22:35:57,2
