CrimeID,CrimeCategory,CrimeType,Latitude,Longitude,CrimeDate,CrimeTime,Severity
HIG-210210-696,Kidnapping,Highway Kidnapping,28.738842423401316,77.20678667579453,2021-02-10,05:58:40,5
PIC-210324-619,Theft,Pickpocketing,28.690410687047716,77.26548367799438,2021-03-24,04:42:38,2
DAN-210606-088,Illegal Street Racing,Dangerous Driving,28.690708327403748,77.27276841959677,2021-06-06,16:08:11,4
STE-210123-235,Theft,Stealing from Vehicle,28.682778501167864,77.20393764955905,2021-01-23,01:49:36,3
VER-210716-157,Hate Crimes,Verbal Abuse,28.703097225120057,77.25701441606492,2021-07-16,01:37:48,3
HUM-211201-092,Drug Trafficking,Human Trafficking,28.693765638069724,77.2840587159173,2021-12-01,18:51:11,5
STR-210302-908,Loitering and Harassment,Street Harassment,28.693425350779023,77.28327705851578,2021-03-02,13:42:05,3
VER-210207-706,Hate Crimes,Verbal Abuse,28.686443052174265,77.27246285042617,2021-02-07,11:24:08,3
REC-211213-865,Traffic Violation,Reckless Driving,28.71321834749108,77.27513366921814,2021-12-13,15:47:58,3
ARM-210606-506,Robbery,Armed Robbery,28.672585239167542,77.27375328194233,2021-06-06,21:55:10,5
INS-210707-135,Fraud,Insurance Scam,28.742820249814596,77.25248930237665,2021-07-07,03:02:12,3
SPE-211117-245,Traffic Violation,Speeding,28.697801378763543,77.2650471978968,2021-11-17,23:38:44,2
STE-210527-524,Theft,Stealing from Vehicle,28.654687404351737,77.29013852617315,2021-05-27,10:35:41,3
HUM-210705-080,Drug Trafficking,Human Trafficking,28.700409782771093,77.25825693266064,2021-07-05,15:39:09,5
PED-211028-444,Assault,Pedestrian Attack,28.70964235551145,77.26303368702139,2021-10-28,21:50:46,5
HIG-210324-981,Kidnapping,Highway Kidnapping,28.712094704799785,77.25367731128969,2021-03-24,17:54:48,5
PIC-211126-748,Theft,Pickpocketing,28.661232776447616,77.26545180168736,2021-11-26,22:09:12,2
SEX-210818-289,Sexual Crime,Sexual Harassment,28.675076003079116,77.29523974924224,2021-08-18,19:54:31,3
DRU-211111-377,Traffic Violation,Drunk Driving,28.727088956037807,77.26140135286606,2021-11-11,11:55:50,4
PIC-211110-976,Theft,Pickpocketing,28.65825869277226,77.23508011384635,2021-11-10,05:47:48,2
AGG-210212-582,Loitering and Harassment,Aggressive Panhandling,28.66522894959177,77.26587384962663,2021-02-12,16:27:29,2
STA-210623-059,Loitering and Harassment,Stalking,28.689423600376276,77.27956989352782,2021-06-23,10:17:04,4
TOL-211101-562,Fraud,Toll Booth Fraud,28.654106861367115,77.27976918677824,2021-11-01,01:58:30,2
INJ-210417-170,Hit-and-Run,Injury Escape,28.664154372416093,77.25871395406656,2021-04-17,22:41:56,5
ARM-210709-235,Robbery,Armed Robbery,28.743052796648957,77.20275751253811,2021-07-09,06:45:31,5
PIC-210818-059,Theft,Pickpocketing,28.718395607689697,77.25876755525853,2021-08-18,20:18:17,2
DRA-210911-702,Illegal Street Racing,Drag Racing,28.731961559627727,77.27763120160448,2021-09-11,13:30:55,3
STA-210626-086,Loitering and Harassment,Stalking,28.732216103384772,77.24626732583418,2021-06-26,02:15:08,4
TOL-210908-632,Fraud,Toll Booth Fraud,28.702626333733992,77.26759245592838,2021-09-08,09:32:19,2
DRU-210119-318,Traffic Violation,Drunk Driving,28.69336463101373,77.19499661130529,2021-01-19,04:39:10,4
ILL-210408-884,Obstruction,Illegal Vending,28.680857121229725,77.2845679809075,2021-04-08,06:23:44,1
PUB-211209-347,Vandalism,Public Property Destruction,28.741096043295606,77.25199924539758,2021-12-09,05:18:35,3
DRA-211226-848,Illegal Street Racing,Drag Racing,28.730813500177238,77.25040031786736,2021-12-26,15:19:04,3
ACC-210621-438,Hit-and-Run,Accident Fleeing,28.710959160860742,77.28848135826752,2021-06-21,00:30:25,4
SEX-210227-548,Sexual Crime,Sexual Assault,28.664343160652706,77.28766180722145,2021-02-27,06:29:33,5
TAR-211221-830,Hate Crimes,Targeted Assault,28.720778320553663,77.26659854480249,2021-12-21,21:17:19,5
ROA-210216-143,Assault,Road Rage Incident,28.657598986415152,77.28766553850824,2021-02-16,12:11:20,4
SEX-210513-444,Sexual Crime,Sexual Assault,28.692774831641,77.19705948744962,2021-05-13,16:38:06,5
DRA-211117-906,Illegal Street Racing,Drag Racing,28.69044478798593,77.29342660321839,2021-11-17,05:42:59,3
DRA-210107-880,Illegal Street Racing,Drag Racing,28.678756454337876,77.26500398350858,2021-01-07,11:43:19,3
AGG-211020-561,Loitering and Harassment,Aggressive Panhandling,28.73160235492181,77.20883793536292,2021-10-20,05:46:30,2
BIK-210523-554,Theft,Bike Theft,28.680349877538305,77.19701276911731,2021-05-23,03:45:55,2
TOL-210401-431,Fraud,Toll Booth Fraud,28.664021154661835,77.28359688432371,2021-04-01,14:25:56,2
CAR-211001-034,Assault,Carjacking,28.691677102137476,77.2877166717063,2021-10-01,07:07:11,5
HIG-210519-169,Kidnapping,Highway Kidnapping,28.708548954754654,77.1954303493659,2021-05-19,22:03:27,5
BIK-210726-000,Theft,Bike Theft,28.666768213741975,77.26393712193156,2021-07-26,19:21:15,2
PUB-210104-842,Vandalism,Public Property Destruction,28.680643887945457,77.27015827869768,2021-01-04,06:35:58,3
PED-210501-689,Assault,Pedestrian Attack,28.666012976541037,77.28292517064335,2021-05-01,02:03:18,5
HUM-210819-346,Drug Trafficking,Human Trafficking,28.730815688040995,77.26893560433284,2021-08-19,10:27:56,5
AGG-210109-136,Loitering and Harassment,Aggressive Panhandling,28.691090230740613,77.20122901514353,2021-01-09,11:57:49,2
TOL-210503-517,Fraud,Toll Booth Fraud,28.660221660015907,77.26260743897909,2021-05-03,16:43:13,2
DRU-211219-790,Traffic Violation,Drunk Driving,28.71259781207789,77.25315550219955,2021-12-19,19:08:02,4
VEH-210314-254,Theft,Vehicle Theft,28.6784770430123,77.27613549930251,2021-03-14,18:38:30,4
ACC-210718-906,Hit-and-Run,Accident Fleeing,28.657005808779523,77.19702010253515,2021-07-18,07:05:05,4
DRA-210905-690,Illegal Street Racing,Drag Racing,28.680183714554012,77.27431024921589,2021-09-05,23:17:50,3
PUB-210919-572,Drug Trafficking,Public Intoxication,28.743056730727165,77.20252831465491,2021-09-19,14:48:41,1
ILL-210203-021,Obstruction,Illegal Vending,28.728969481025874,77.26266265339918,2021-02-03,02:37:12,1
SEX-210621-307,Sexual Crime,Sexual Harassment,28.673906153860827,77.25750037371625,2021-06-21,05:08:12,3
SEX-211116-078,Sexual Crime,Sexual Assault,28.694848647277073,77.25586190251522,2021-11-16,06:57:27,5
ACC-210313-003,Hit-and-Run,Accident Fleeing,28.724928099539035,77.2160369467474,2021-03-13,11:40:52,4
INS-210611-324,Fraud,Insurance Scam,28.68681015274167,77.27462360953287,2021-06-11,04:10:58,3
INS-211124-492,Fraud,Insurance Scam,28.659218737673505,77.26442549775842,2021-11-24,15:54:06,3
INS-210822-067,Fraud,Insurance Scam,28.678192333005693,77.27579896799489,2021-08-22,15:27:00,3
VEH-211228-072,Vandalism,Vehicle Damage,28.684042171054287,77.27368978730428,2021-12-28,10:57:53,2
INJ-210101-562,Hit-and-Run,Injury Escape,28.667083457339896,77.27084731959863,2021-01-01,09:46:15,5
STE-210206-775,Theft,Stealing from Vehicle,28.657033912028435,77.23625461260895,2021-02-06,17:18:50,3
TAR-210327-327,Hate Crimes,Targeted Assault,28.68301328404384,77.20120073818634,2021-03-27,00:05:20,5
BLO-210211-307,Obstruction,Blocking Pedestrian Path,28.723870306473444,77.21770994507858,2021-02-11,17:51:06,1
ROA-210904-779,Vandalism,Road Sign Graffiti,28.740689357889043,77.26022258240671,2021-09-04,02:01:24,1
TAR-210417-875,Hate Crimes,Targeted Assault,28.679509274242903,77.28956448421135,2021-04-17,11:41:12,5
DRA-211014-956,Illegal Street Racing,Drag Racing,28.69708719204666,77.2257942970578,2021-10-14,01:52:59,3
VER-211103-015,Hate Crimes,Verbal Abuse,28.690764302267322,77.28134507102072,2021-11-03,19:31:56,3
