CrimeID,CrimeCategory,CrimeType,Latitude,Longitude,CrimeDate,CrimeTime,Severity
VEH-210803-734,Kidnapping,Vehicle Abduction,28.645882805086828,77.29437351591605,2021-08-03,22:31:36,5
PUB-211215-464,Drug Trafficking,Public Intoxication,28.689601801592374,77.26107138339363,2021-12-15,14:46:39,1
BLO-211002-452,Obstruction,Blocking Pedestrian Path,28.62579968505585,77.23146412391027,2021-10-02,19:38:51,1
TAR-211123-985,Hate Crimes,Targeted Assault,28.696175671962077,77.31287199636986,2021-11-23,02:19:54,5
PIC-210308-472,Theft,Pickpocketing,28.66157139462346,77.2871829020238,2021-03-08,04:39:34,2
TOL-210908-005,Fraud,Toll Booth Fraud,28.662444508441446,77.27801577934389,2021-09-08,06:19:04,2
CAR-210124-766,Assault,Carjacking,28.697767798387794,77.29580799981633,2021-01-24,02:33:47,5
ACC-210713-938,Hit-and-Run,Accident Fleeing,28.702803184341743,77.32382338451607,2021-07-13,15:52:58,4
INS-211122-224,Fraud,Insurance Scam,28.659927505950186,77.2768080550681,2021-11-22,02:15:05,3
STR-210826-318,Loitering and Harassment,Street Harassment,28.63428601877162,77.29772717213817,2021-08-26,23:08:42,3
ARM-210811-112,Robbery,Armed Robbery,28.69755336937698,77.26570967649663,2021-08-11,10:09:37,5
STE-210303-946,Theft,Stealing from Vehicle,28.69141368903699,77.31059439910474,2021-03-03,02:56:40,3
CAR-210316-692,Assault,Carjacking,28.687034714398507,77.31022080961598,2021-03-16,20:09:52,5
HIG-210613-097,Kidnapping,Highway Kidnapping,28.682104240986657,77.28723044533189,2021-06-13,07:12:28,5
VEH-210825-441,Kidnapping,Vehicle Abduction,28.70728708155636,77.27429367490696,2021-08-25,01:42:23,5
DRA-211127-714,Illegal Street Racing,Drag Racing,28.70282468488451,77.31389291075129,2021-11-27,02:00:52,3
VER-211220-524,Assault,Verbal Altercation,28.71265714059449,77.30343523909275,2021-12-20,01:46:11,2
PUB-210322-884,Drug Trafficking,Public Intoxication,28.658787918638303,77.30413743438235,2021-03-22,08:52:12,1
TOL-211109-924,Fraud,Toll Booth Fraud,28.70183072553433,77.31363403499392,2021-11-09,11:04:39,2
DAN-210623-079,Illegal Street Racing,Dangerous Driving,28.687634814553025,77.29166961338363,2021-06-23,08:25:52,4
VER-211114-823,Assault,Verbal Altercation,28.693980275628295,77.27196147933553,2021-11-14,04:03:57,2
ILL-211211-249,Obstruction,Illegal Vending,28.66977153232695,77.31587302661568,2021-12-11,23:53:21,1
