CrimeID,CrimeCategory,CrimeType,Latitude,Longitude,CrimeDate,CrimeTime,Severity
VER-210114-284,Hate Crimes,Verbal Abuse,28.56953377228291,77.24427753081964,2021-01-14,04:33:45,3
VER-211004-754,Hate Crimes,Verbal Abuse,28.579090338731966,77.22721870442872,2021-10-04,14:27:28,3
TAR-211210-152,Hate Crimes,Targeted Assault,28.55953998285269,77.21202101676438,2021-12-10,01:51:26,5
INJ-210214-548,Hit-and-Run,Injury Escape,28.539755089126544,77.24413274158834,2021-02-14,02:21:09,5
SEX-210821-885,Sexual Crime,Sexual Harassment,28.529853614408538,77.26255658479941,2021-08-21,13:10:30,3
PUB-210120-865,Vandalism,Public Property Destruction,28.599221854357907,77.22460650288168,2021-01-20,20:21:45,3
STR-210627-453,Loitering and Harassment,Street Harassment,28.538755231777234,77.19777606112541,2021-06-27,11:41:03,3
TOL-211205-836,Fraud,Toll Booth Fraud,28.54110768641865,77.24196426657502,2021-12-05,20:48:44,2
AGG-210908-373,Loitering and Harassment,Aggressive Panhandling,28.55520529216006,77.24952102316138,2021-09-08,20:38:22,2
VER-211002-959,Assault,Verbal Altercation,28.546843172666946,77.19948761598053,2021-10-02,20:08:41,2
TOL-210627-588,Fraud,Toll Booth Fraud,28.54085459089122,77.24955315527882,2021-06-27,19:34:13,2
SEX-210526-495,Sexual Crime,Sexual Harassment,28.566812850960837,77.19939765382205,2021-05-26,16:45:32,3
VEH-210311-216,Kidnapping,Vehicle Abduction,28.542873274591052,77.2145633843007,2021-03-11,21:30:01,5
VEH-210307-303,Kidnapping,Vehicle Abduction,28.559445339238113,77.22657839538806,2021-03-07,00:54:50,5
ACC-211228-728,Hit-and-Run,Accident Fleeing,28.58451103944513,77.25322765593516,2021-12-28,03:12:15,4
VEH-210327-147,Theft,Vehicle Theft,28.57474460025854,77.22440456593465,2021-03-27,12:25:49,4
STA-210508-673,Loitering and Harassment,Stalking,28.56954245565446,77.27831331078508,2021-05-08,15:54:02,4
CAR-210320-241,Assault,Carjacking,28.575575528799078,77.19482127302028,2021-03-20,09:08:19,5
INJ-210415-701,Hit-and-Run,Injury Escape,28.531401430151856,77.21809188547779,2021-04-15,20:30:00,5
REC-210710-536,Traffic Violation,Reckless Driving,28.566803663714307,77.2756146960972,2021-07-10,22:30:38,3
STA-210705-454,Loitering and Harassment,Stalking,28.583304468765434,77.25062536051178,2021-07-05,23:14:51,4
ARM-211123-220,Robbery,Armed Robbery,28.535031886746665,77.24724486186183,2021-11-23,08:54:19,5
INJ-210713-577,Hit-and-Run,Injury Escape,28.607512500932522,77.23664362791702,2021-07-13,21:57:39,5
TOL-210121-802,Fraud,Toll Booth Fraud,28.535988843133993,77.20707645948859,2021-01-21,20:39:55,2
SEX-210217-721,Sexual Crime,Sexual Harassment,28.579222566729737,77.21171934978835,2021-02-17,00:06:27,3
BIK-210126-549,Theft,Bike Theft,28.56526990361623,77.24633820005005,2021-01-26,02:03:58,2
DAN-211025-665,Illegal Street Racing,Dangerous Driving,28.607050506738435,77.22721028132543,2021-10-25,05:18:04,4
DAN-210704-803,Illegal Street Racing,Dangerous Driving,28.549481191174817,77.26301321968276,2021-07-04,07:46:11,4
INJ-210924-272,Hit-and-Run,Injury Escape,28.531584799512817,77.2283656098819,2021-09-24,15:29:28,5
PUB-211007-543,Drug Trafficking,Public Intoxication,28.54480227010373,77.25487243348951,2021-10-07,08:00:52,1
PUB-210205-457,Drug Trafficking,Public Intoxication,28.572670382544544,77.20752397604092,2021-02-05,07:32:22,1
VEH-210819-562,Kidnapping,Vehicle Abduction,28.57778848117534,77.20952129407496,2021-08-19,16:41:53,5
REC-211003-580,Traffic Violation,Reckless Driving,28.53653901983471,77.20799804215804,2021-10-03,05:54:44,3
HUM-211128-205,Drug Trafficking,Human Trafficking,28.57368175725827,77.24595711630995,2021-11-28,13:55:05,5
HUM-210315-555,Drug Trafficking,Human Trafficking,28.526354567090237,77.26338093382692,2021-03-15,19:10:19,5
INJ-211117-807,Hit-and-Run,Injury Escape,28.59626055493344,77.23085544353644,2021-11-17,16:16:48,5
DAN-210214-088,Illegal Street Racing,Dangerous Driving,28.611575890406478,77.28949110687425,2021-02-14,13:51:01,4
HUM-210422-718,Drug Trafficking,Human Trafficking,28.53424089954949,77.21904597490355,2021-04-22,00:43:31,5
AGG-210601-526,Loitering and Harassment,Aggressive Panhandling,28.568322189016524,77.28614069892289,2021-06-01,12:53:16,2
PUB-210924-487,Vandalism,Public Property Destruction,28.538732814213063,77.20754157369325,2021-09-24,04:16:40,3
STA-210526-508,Loitering and Harassment,Stalking,28.53536251599054,77.25288451923895,2021-05-26,16:01:24,4
SEX-210901-651,Sexual Crime,Sexual Assault,28.55902138925757,77.25886191758548,2021-09-01,06:50:59,5
PIC-210417-875,Theft,Pickpocketing,28.596338848783443,77.2002048336114,2021-04-17,00:45:51,2
BLO-210204-603,Obstruction,Blocking Pedestrian Path,28.53013280237428,77.25961567968972,2021-02-04,12:08:16,1
STR-210826-289,Loitering and Harassment,Street Harassment,28.530359791868648,77.23055058773932,2021-08-26,15:08:38,3
ACC-211119-730,Hit-and-Run,Accident Fleeing,28.550758244639475,77.21396991617176,2021-11-19,20:07:17,4
VEH-211124-809,Kidnapping,Vehicle Abduction,28.56799368988974,77.22592394172797,2021-11-24,12:59:35,5
VEH-210702-863,Kidnapping,Vehicle Abduction,28.534944472426407,77.21840342677817,2021-07-02,00:58:58,5
DAN-210408-170,Illegal Street Racing,Dangerous Driving,28.54311450044189,77.2500777287453,2021-04-08,00:58:07,4
SEX-210211-127,Sexual Crime,Sexual Harassment,28.542199699522907,77.22741730397418,2021-02-11,00:20:09,3
PIC-211213-440,Theft,Pickpocketing,28.572993330024907,77.22484317151275,2021-12-13,19:49:35,2
PUB-211020-448,Drug Trafficking,Public Intoxication,28.533984147341695,77.26122694968292,2021-10-20,11:48:04,1
VER-211127-764,Hate Crimes,Verbal Abuse,28.55827069766754,77.22426481627167,2021-11-27,04:53:16,3
ROA-210323-079,Assault,Road Rage Incident,28.56100117186327,77.25909449325407,2021-03-23,20:11:18,4
HIG-210309-064,Kidnapping,Highway Kidnapping,28.59315045121063,77.23257704608531,2021-03-09,02:46:30,5
BLO-211015-939,Obstruction,Blocking Pedestrian Path,28.566719041189902,77.28400052557402,2021-10-15,22:56:04,1
TAR-210317-685,Hate Crimes,Targeted Assault,28.569152822387814,77.19811630637912,2021-03-17,09:27:36,5
PUB-210827-113,Drug Trafficking,Public Intoxication,28.560902076904345,77.21204572593264,2021-08-27,21:55:06,1
VEH-210920-019,Kidnapping,Vehicle Abduction,28.606928515831193,77.23640339699627,2021-09-20,09:07:49,5
INJ-210610-159,Hit-and-Run,Injury Escape,28.532321584855058,77.25354251344625,2021-06-10,04:49:56,5
REC-210613-743,Traffic Violation,Reckless Driving,28.53821991661117,77.20337384800557,2021-06-13,19:31:55,3
HUM-210116-704,Drug Trafficking,Human Trafficking,28.53667880344976,77.26328396326137,2021-01-16,18:36:51,5
HUM-210121-173,Drug Trafficking,Human Trafficking,28.55430982448571,77.20066389230928,2021-01-21,04:22:37,5
SEX-210421-330,Sexual Crime,Sexual Harassment,28.56153697445214,77.21211909643523,2021-04-21,04:08:19,3
REC-210308-321,Traffic Violation,Reckless Driving,28.57481230276437,77.19368922945529,2021-03-08,06:11:08,3
DAN-210914-791,Illegal Street Racing,Dangerous Driving,28.598270667438523,77.20290979810918,2021-09-14,23:51:43,4
VER-211220-337,Hate Crimes,Verbal Abuse,28.574223353263413,77.23842901235314,2021-12-20,23:47:32,3
DRA-211122-261,Illegal Street Racing,Drag Racing,28.527444547081217,77.2058445565818,2021-11-22,21:13:00,3
