CrimeID,CrimeCategory,CrimeType,Latitude,Longitude,CrimeDate,CrimeTime,Severity
VEH-210516-687,Kidnapping,Vehicle Abduction,28.621088585966877,77.3220412119317,2021-05-16,12:10:32,5
STE-210609-725,Theft,Stealing from Vehicle,28.591234158406987,77.3122356704818,2021-06-09,19:14:03,3
DRA-210115-729,Illegal Street Racing,Drag Racing,28.623390281713725,77.29185274311807,2021-01-15,08:50:50,3
PUB-210807-766,Drug Trafficking,Public Intoxication,28.55752774932704,77.24952277687876,2021-08-07,07:01:40,1
INS-210904-067,Fraud,Insurance Scam,28.59438495475458,77.31947055675153,2021-09-04,15:58:42,3
BIK-210707-917,Theft,Bike Theft,28.597558159329733,77.29572212807173,2021-07-07,20:41:30,2
INJ-210127-139,Hit-and-Run,Injury Escape,28.563520351437212,77.2453362442565,2021-01-27,15:06:39,5
INS-210822-374,Fraud,Insurance Scam,28.552161387218025,77.24231113044645,2021-08-22,19:18:31,3
VER-210507-394,Hate Crimes,Verbal Abuse,28.589624405470303,77.25201903042533,2021-05-07,08:21:51,3
ROA-210214-570,Assault,Road Rage Incident,28.580860980464738,77.24525654539046,2021-02-14,00:32:09,4
STR-210901-099,Loitering and Harassment,Street Harassment,28.596678543164476,77.33347735033809,2021-09-01,10:59:13,3
PUB-210812-629,Drug Trafficking,Public Intoxication,28.581405213518913,77.31442237715703,2021-08-12,13:03:26,1
STR-210426-748,Loitering and Harassment,Street Harassment,28.632699368832245,77.27646827819866,2021-04-26,19:27:03,3
BIK-210906-292,Theft,Bike Theft,28.5686331225075,77.28209181700308,2021-09-06,12:04:00,2
SEX-211018-370,Sexual Crime,Sexual Assault,28.627033729015427,77.2836863564762,2021-10-18,21:01:49,5
VEH-210220-719,Theft,Vehicle Theft,28.572264895868397,77.27061798303818,2021-02-20,13:12:24,4
ILL-210507-563,Obstruction,Illegal Vending,28.63666717798122,77.27577566954874,2021-05-07,21:08:45,1
REC-210113-682,Traffic Violation,Reckless Driving,28.574945152385954,77.32641365225724,2021-01-13,16:23:02,3
STR-210217-250,Loitering and Harassment,Street Harassment,28.619240518618557,77.28110242005322,2021-02-17,06:42:05,3
HIG-210104-202,Kidnapping,Highway Kidnapping,28.580081534174255,77.24014952913421,2021-01-04,02:16:30,5
STA-210415-980,Loitering and Harassment,Stalking,28.585954794520312,77.32624395581658,2021-04-15,07:49:59,4
ACC-211027-616,Hit-and-Run,Accident Fleeing,28.632639154542936,77.27418416277871,2021-10-27,18:00:54,4
DAN-210326-574,Illegal Street Racing,Dangerous Driving,28.554248737265457,77.29187745963479,2021-03-26,17:08:47,4
SPE-210515-265,Traffic Violation,Speeding,28.561901626199766,77.25671840650087,2021-05-15,20:03:01,2
BLO-210211-150,Obstruction,Blocking Pedestrian Path,28.56442358206795,77.28778099636101,2021-02-11,23:03:29,1
BLO-210619-785,Obstruction,Blocking Pedestrian Path,28.57538900625328,77.24206791314771,2021-06-19,14:18:48,1
VER-210208-437,Hate Crimes,Verbal Abuse,28.555482181887175,77.29722749383905,2021-02-08,14:38:15,3
ILL-210207-462,Obstruction,Illegal Vending,28.601820551852935,77.23951816986288,2021-02-07,00:05:02,1
SPE-210818-238,Traffic Violation,Speeding,28.61924738503659,77.31593000549597,2021-08-18,05:34:08,2
VER-210517-998,Assault,Verbal Altercation,28.616829206755682,77.31782575422453,2021-05-17,06:00:15,2
ILL-210324-185,Obstruction,Illegal Vending,28.60467644687694,77.23868663733893,2021-03-24,11:08:38,1
ACC-210110-237,Hit-and-Run,Accident Fleeing,28.63451075790221,77.32594236427542,2021-01-10,08:41:14,4
INJ-211017-821,Hit-and-Run,Injury Escape,28.636269800523014,77.27236632752363,2021-10-17,22:36:23,5
SEX-210924-289,Sexual Crime,Sexual Harassment,28.621357088220783,77.31639055774515,2021-09-24,10:35:15,3
VEH-210209-803,Kidnapping,Vehicle Abduction,28.63310183494518,77.2728600589071,2021-02-09,18:04:14,5
DAN-210321-356,Illegal Street Racing,Dangerous Driving,28.636694723744327,77.28467438169497,2021-03-21,04:56:53,4
VER-210528-950,Hate Crimes,Verbal Abuse,28.565034821949443,77.2592345986442,2021-05-28,00:40:21,3
TAR-210210-292,Hate Crimes,Targeted Assault,28.613415989457334,77.28613365877459,2021-02-10,08:10:10,5
BLO-210825-891,Obstruction,Blocking Pedestrian Path,28.626830979562573,77.33540142351066,2021-08-25,12:26:44,1
