CrimeID,CrimeCategory,CrimeType,Latitude,Longitude,CrimeDate,CrimeTime,Severity
TOL-210906-378,Fraud,Toll Booth Fraud,28.47058303628332,77.38759288288333,2021-09-06,12:59:44,2
INS-210110-722,Fraud,Insurance Scam,28.514647200119796,77.35959276605841,2021-01-10,09:16:48,3
DRA-210219-715,Illegal Street Racing,Drag Racing,28.496258191454004,77.42678684753781,2021-02-19,09:00:53,3
CAR-211125-543,Assault,Carjacking,28.51589144302714,77.39106899818667,2021-11-25,13:03:53,5
ROA-210303-469,Vandalism,Road Sign Graffiti,28.511117538280054,77.36941269518445,2021-03-03,00:37:32,1
ACC-210917-643,Hit-and-Run,Accident Fleeing,28.51198146606567,77.39311353157018,2021-09-17,18:15:22,4
PAR-210115-127,Robbery,Parking Lot Robbery,28.504353858626157,77.42443351666338,2021-01-15,01:26:19,4
INS-211122-640,Fraud,Insurance Scam,28.490752940213362,77.3769841099911,2021-11-22,16:52:47,3
ROA-211217-672,Vandalism,Road Sign Graffiti,28.508168014174306,77.42905137444798,2021-12-17,19:10:40,1
SPE-210403-966,Traffic Violation,Speeding,28.484684996887463,77.4178089962866,2021-04-03,17:27:38,2
PUB-210402-369,Drug Trafficking,Public Intoxication,28.507238770969337,77.42006798379816,2021-04-02,06:50:42,1
DAN-210925-783,Illegal Street Racing,Dangerous Driving,28.512908960306746,77.40942587957763,2021-09-25,11:52:14,4
CAR-211027-588,Assault,Carjacking,28.520287598230173,77.41311066941283,2021-10-27,10:49:38,5
VEH-210218-481,Vandalism,Vehicle Damage,28.49572985165741,77.39638613529607,2021-02-18,04:23:04,2
VER-210609-863,Hate Crimes,Verbal Abuse,28.517034947015297,77.36785453236013,2021-06-09,22:59:07,3
TOL-210504-724,Fraud,Toll Booth Fraud,28.48329767232242,77.38507743451277,2021-05-04,13:00:52,2
ILL-210327-708,Obstruction,Illegal Vending,28.52161909220649,77.37563227998736,2021-03-27,02:27:12,1
BLO-210926-650,Obstruction,Blocking Pedestrian Path,28.483094777038694,77.3961120192191,2021-09-26,02:19:31,1
SPE-210909-322,Traffic Violation,Speeding,28.49381770039553,77.41383108017034,2021-09-09,01:45:56,2
INJ-210801-417,Hit-and-Run,Injury Escape,28.50721993845776,77.4179784092076,2021-08-01,11:02:51,5
MUG-211225-277,Robbery,Mugging,28.5234535837907,77.37945890687318,2021-12-25,22:43:09,4
HUM-211212-280,Drug Trafficking,Human Trafficking,28.487106234627117,77.4137005551331,2021-12-12,02:05:28,5
DAN-211112-235,Illegal Street Racing,Dangerous Driving,28.49081478928251,77.40909146943389,2021-11-12,17:38:43,4
MUG-210910-749,Robbery,Mugging,28.51230331513114,77.43312932758921,2021-09-10,14:19:48,4
HUM-210911-609,Drug Trafficking,Human Trafficking,28.497724133343592,77.3929867629836,2021-09-11,15:09:08,5
TOL-210628-286,Fraud,Toll Booth Fraud,28.516093133078662,77.3689018867003,2021-06-28,21:12:52,2
STR-210724-954,Loitering and Harassment,Street Harassment,28.491693812441007,77.37658744856469,2021-07-24,14:59:06,3
HUM-210111-497,Drug Trafficking,Human Trafficking,28.508202257475173,77.4290800219782,2021-01-11,12:54:28,5
TAR-210516-208,Hate Crimes,Targeted Assault,28.522126935443875,77.39244744479319,2021-05-16,07:25:44,5
ROA-211116-032,Assault,Road Rage Incident,28.505762920640354,77.39605506531396,2021-11-16,08:50:31,4
RAP-210528-057,Sexual Crime,Rape,28.523419207128466,77.35368457234512,2021-05-28,11:30:16,5
STA-210125-659,Loitering and Harassment,Stalking,28.50924156844926,77.42870504656817,2021-01-25,13:46:44,4
