CrimeID,CrimeCategory,CrimeType,latitude,longitude,CrimeDate,CrimeTime,Severity
PUB-211021-250,Vandalism,Public Property Destruction,28.64878927039292,77.2330815931869,2021-10-21,05:34:46,3
TAR-211008-634,Hate Crimes,Targeted Assault,28.64963328598801,77.20369767575416,2021-10-08,18:38:02,5
ROA-210412-853,Vandalism,Road Sign Graffiti,28.629310580167363,77.21629889630496,2021-04-12,09:10:28,1
DAN-211122-925,Illegal Street Racing,Dangerous Driving,28.63843243794788,77.21321427173741,2021-11-22,04:40:06,4
TAR-210119-092,Hate Crimes,Targeted Assault,28.6314870032752,77.20071231129475,2021-01-19,11:46:08,5
VER-210820-527,Hate Crimes,Verbal Abuse,28.64220117121949,77.24454319531553,2021-08-20,17:01:40,3
BLO-210515-434,Obstruction,Blocking Pedestrian Path,28.649895765685947,77.23581124052545,2021-05-15,21:46:34,1
PUB-210413-794,Drug Trafficking,Public Intoxication,28.630542584504106,77.22979625615814,2021-04-13,07:35:20,1
TAR-210523-335,Hate Crimes,Targeted Assault,28.645588467204437,77.21362884439435,2021-05-23,11:29:31,5
HUM-210707-903,Drug Trafficking,Human Trafficking,28.62691777661,77.21537636032333,2021-07-07,22:58:08,5
INJ-210224-376,Hit-and-Run,Injury Escape,28.632104375361443,77.23904645719345,2021-02-24,03:06:20,5
KID-210118-429,Kidnapping,Kidnapping,28.641839502284625,77.23315866526607,2021-01-18,22:47:41,5
KID-210207-598,Kidnapping,Kidnapping,28.64625442997546,77.22986318931937,2021-02-07,04:49:49,5
STR-211007-181,Loitering and Harassment,Street Harassment,28.627008989991225,77.2154119978796,2021-10-07,04:21:45,3
PED-210408-262,Assault,Pedestrian Attack,28.645214894865106,77.22376583497632,2021-04-08,22:04:22,5
MUG-210622-671,Robbery,Mugging,28.633059149298617,77.20376775387797,2021-06-22,04:46:01,4
PAR-210101-113,Robbery,Parking Lot Robbery,28.64029035103742,77.23100429087422,2021-01-01,21:05:58,4
DAN-210903-926,Illegal Street Racing,Dangerous Driving,28.633744452363462,77.20588563227156,2021-09-03,23:46:06,4
INJ-211101-841,Hit-and-Run,Injury Escape,28.649836080183025,77.21006246752928,2021-11-01,23:46:42,5
PUB-211218-467,Vandalism,Public Property Destruction,28.63405438313931,77.24461839557134,2021-12-18,05:37:38,3
RAP-210615-338,Sexual Crime,Rape,28.637685354436723,77.2052916591185,2021-06-15,22:50:02,5
STA-211208-749,Loitering and Harassment,Stalking,28.64644099602355,77.22516461199376,2021-12-08,04:03:43,4
BIK-210803-184,Theft,Bike Theft,28.617426340712463,77.24025993487949,2021-08-03,23:32:07,2
VEH-210918-116,Vandalism,Vehicle Damage,28.64298168210899,77.21075947364801,2021-09-18,10:49:00,2
HUM-211110-831,Drug Trafficking,Human Trafficking,28.647949029467696,77.24259430885088,2021-11-10,15:34:53,5
DRA-210711-332,Illegal Street Racing,Drag Racing,28.64214058877215,77.24416474445795,2021-07-11,23:43:25,3
AGG-211215-429,Loitering and Harassment,Aggressive Panhandling,28.63513927352974,77.23285668924491,2021-12-15,18:37:20,2
CAR-210910-819,Assault,Carjacking,28.630727252810328,77.20068392166912,2021-09-10,14:39:23,5
VEH-210619-889,Vandalism,Vehicle Damage,28.631775581028126,77.21921235197513,2021-06-19,15:36:27,2
KID-210707-219,Kidnapping,Kidnapping,28.635695634715976,77.20521653389116,2021-07-07,04:06:11,5
PUB-210314-999,Vandalism,Public Property Destruction,28.642700272511178,77.21811758957011,2021-03-14,04:01:18,3
PUB-210727-368,Vandalism,Public Property Destruction,28.6168039093384,77.2160480395242,2021-07-27,21:41:47,3
PIC-211226-346,Theft,Pickpocketing,28.62329392016801,77.23395082247593,2021-12-26,16:04:05,2
INJ-210920-714,Hit-and-Run,Injury Escape,28.64627985323649,77.21525697710261,2021-09-20,19:41:28,5
CAR-210728-010,Assault,Carjacking,28.633642558258355,77.20704452184613,2021-07-28,06:25:02,5
BLO-210604-211,Obstruction,Blocking Pedestrian Path,28.629562043226095,77.23192488501736,2021-06-04,01:08:36,1
INJ-211118-014,Hit-and-Run,Injury Escape,28.64899848314014,77.2102220491959,2021-11-18,22:07:25,5
PED-210928-494,Assault,Pedestrian Attack,28.64831147346887,77.21490182066131,2021-09-28,03:18:19,5
SEX-210108-361,Sexual Crime,Sexual Assault,28.617617831495572,77.20007498688723,2021-01-08,13:24:09,5
TAR-210818-549,Hate Crimes,Targeted Assault,28.63535693381371,77.23104939282352,2021-08-18,17:31:34,5
PED-210601-554,Assault,Pedestrian Attack,28.618659840581643,77.20194386209397,2021-06-01,07:18:10,5
RAP-211016-487,Sexual Crime,Rape,28.6452171181687,77.21290867919569,2021-10-16,06:44:47,5
VEH-210612-125,Kidnapping,Vehicle Abduction,28.64150271272857,77.20269965037846,2021-06-12,04:49:20,5
ROA-210917-016,Vandalism,Road Sign Graffiti,28.645702322405217,77.21402649201619,2021-09-17,01:21:41,1
PUB-210115-487,Drug Trafficking,Public Intoxication,28.615247610831407,77.2406158637182,2021-01-15,05:17:01,1
SEX-210312-347,Sexual Crime,Sexual Harassment,28.64222746309164,77.24500574369944,2021-03-12,20:46:36,4
DAN-211206-108,Illegal Street Racing,Dangerous Driving,28.640486753999717,77.20981398650885,2021-12-06,07:06:42,4
DRA-211113-130,Illegal Street Racing,Drag Racing,28.624912956862644,77.22468315347491,2021-11-13,02:36:05,3
STE-211024-908,Theft,Stealing from Vehicle,28.632689498488887,77.23174749914733,2021-10-24,19:59:05,3
BLO-210913-411,Obstruction,Blocking Pedestrian Path,28.64791131085339,77.22431479800065,2021-09-13,13:22:08,1
VEH-210917-950,Vandalism,Vehicle Damage,28.628660782360328,77.23116283207128,2021-09-17,18:32:54,2
ILL-211219-005,Obstruction,Illegal Vending,28.64868664824472,77.24249703260442,2021-12-19,19:26:55,1
PUB-210908-950,Drug Trafficking,Public Intoxication,28.628410605148392,77.2180161239397,2021-09-08,11:40:00,1
ACC-211219-832,Hit-and-Run,Accident Fleeing,28.645875410256693,77.20956526595701,2021-12-19,08:12:32,4
SEX-210114-424,Sexual Crime,Sexual Assault,28.649529415612687,77.21128802289667,2021-01-14,06:01:50,5
DAN-210111-489,Illegal Street Racing,Dangerous Driving,28.643449273910235,77.23798753166069,2021-01-11,20:04:12,4
DAN-210720-180,Illegal Street Racing,Dangerous Driving,28.63212311088074,77.22631237400995,2021-07-20,08:31:40,4
KID-210521-968,Kidnapping,Kidnapping,28.63918489474492,77.2149070806802,2021-05-21,14:07:48,5
ROA-211016-391,Assault,Road Rage Incident,28.630610557442417,77.21316278861968,2021-10-16,20:11:48,4
ROA-211113-348,Assault,Road Rage Incident,28.619402450962166,77.21261943638606,2021-11-13,08:09:45,4
MUG-210405-987,Robbery,Mugging,28.618924583284972,77.23723843600385,2021-04-05,00:18:15,4
MUG-210127-122,Robbery,Mugging,28.63302475804803,77.20688497920777,2021-01-27,12:49:36,4
RAP-210324-894,Sexual Crime,Rape,28.64555934988437,77.2427614606238,2021-03-24,12:26:01,5
DRA-211002-000,Illegal Street Racing,Drag Racing,28.61835288089395,77.20988148685709,2021-10-02,00:17:59,3
SEX-210122-287,Sexual Crime,Sexual Assault,28.646498860361884,77.20503782106732,2021-01-22,02:49:56,5
RAP-210610-941,Sexual Crime,Rape,28.642977858061467,77.23126276084444,2021-06-10,17:38:20,5
SEX-210807-083,Sexual Crime,Sexual Harassment,28.6377591775275,77.20345544515011,2021-08-07,07:06:54,4
DRA-210301-818,Illegal Street Racing,Drag Racing,28.622046463762203,77.22581116035302,2021-03-01,09:29:33,3
DRA-210606-547,Illegal Street Racing,Drag Racing,28.62824042376116,77.20450418491006,2021-06-06,16:52:44,3
DAN-211007-878,Illegal Street Racing,Dangerous Driving,28.645588184061403,77.2177754898832,2021-10-07,07:20:02,4
DAN-210612-168,Illegal Street Racing,Dangerous Driving,28.631533239114606,77.21670710929205,2021-06-12,14:35:44,4
VEH-210413-090,Theft,Vehicle Theft,28.64527313608731,77.21100045462431,2021-04-13,11:40:21,3
DAN-210215-412,Illegal Street Racing,Dangerous Driving,28.645671762607087,77.2140761991358,2021-02-15,15:44:03,4
PUB-210328-002,Drug Trafficking,Public Intoxication,28.63037619559955,77.23173932146953,2021-03-28,00:23:48,1
TAR-210311-773,Hate Crimes,Targeted Assault,28.64894552599635,77.22375276892659,2021-03-11,18:25:29,5
DRA-210503-335,Illegal Street Racing,Drag Racing,28.629829705874283,77.23196475758162,2021-05-03,21:43:58,3
HUM-210105-395,Drug Trafficking,Human Trafficking,28.643866613563297,77.227635967805,2021-01-05,17:21:06,5
AGG-211026-409,Loitering and Harassment,Aggressive Panhandling,28.61443204702353,77.2088051383233,2021-10-26,07:17:34,2
STE-210109-096,Theft,Stealing from Vehicle,28.61468153356485,77.21225626835572,2021-01-09,10:35:32,3
KID-211013-339,Kidnapping,Kidnapping,28.648530333114447,77.20934530279636,2021-10-13,14:53:04,5
AGG-210410-547,Loitering and Harassment,Aggressive Panhandling,28.629491585151357,77.23584115450375,2021-04-10,17:09:24,2
KID-210124-408,Kidnapping,Kidnapping,28.631653064571747,77.21722285894768,2021-01-24,01:04:40,5
PAR-210115-139,Robbery,Parking Lot Robbery,28.627796750402844,77.22616779942031,2021-01-15,05:13:52,4
PUB-210314-555,Vandalism,Public Property Destruction,28.649172880121437,77.22582601029828,2021-03-14,02:24:59,3
MUG-210813-008,Robbery,Mugging,28.64336320125556,77.21248063431166,2021-08-13,05:21:20,4
PIC-210109-682,Theft,Pickpocketing,28.62720098438536,77.2073001705492,2021-01-09,05:27:10,2
DRA-210221-140,Illegal Street Racing,Drag Racing,28.645918339714868,77.24350934527634,2021-02-21,18:41:22,3
MUG-210815-096,Robbery,Mugging,28.62460163586305,77.24066443123067,2021-08-15,00:53:16,4
ACC-211114-769,Hit-and-Run,Accident Fleeing,28.64209228178047,77.23732748265219,2021-11-14,08:38:47,4
PIC-210112-044,Theft,Pickpocketing,28.63118948906738,77.22884335401889,2021-01-12,03:52:06,2
INJ-210107-963,Hit-and-Run,Injury Escape,28.62348965326201,77.23417353684934,2021-01-07,06:23:02,5
TAR-210724-610,Hate Crimes,Targeted Assault,28.62225049465355,77.22413936425282,2021-07-24,02:57:20,5
ROA-210827-559,Vandalism,Road Sign Graffiti,28.648398670449495,77.21789435731256,2021-08-27,02:03:27,1
PED-210612-277,Assault,Pedestrian Attack,28.641754314620265,77.23805601857973,2021-06-12,00:20:06,5
VER-210415-268,Hate Crimes,Verbal Abuse,28.626108495937753,77.2386735010747,2021-04-15,16:58:33,3
DRA-210701-068,Illegal Street Racing,Drag Racing,28.64031794892052,77.2323070741138,2021-07-01,00:00:57,3
STA-211107-065,Loitering and Harassment,Stalking,28.64817032624577,77.21172063641521,2021-11-07,02:28:48,4
VEH-211019-590,Vandalism,Vehicle Damage,28.637454951587397,77.21458783279301,2021-10-19,10:46:15,2
