CrimeID,CrimeCategory,CrimeType,Latitude,Longitude,CrimeDate,CrimeTime,Severity
DRA-210408-692,Illegal Street Racing,Drag Racing,28.708234313338373,77.16177296543924,2021-04-08,04:47:06,3
TAR-210103-616,Hate Crimes,Targeted Assault,28.720066148491558,77.22901142866046,2021-01-03,06:14:32,5
BIK-210914-284,Theft,Bike Theft,28.68837385307011,77.25904931457247,2021-09-14,07:28:37,2
BLO-211214-220,Obstruction,Blocking Pedestrian Path,28.751474733510545,77.2851526939528,2021-12-14,10:17:09,1
ILL-210212-826,Obstruction,Illegal Vending,28.74553249815106,77.2782846761875,2021-02-12,11:38:16,1
PIC-210703-643,Theft,Pickpocketing,28.750742437308777,77.20532107263249,2021-07-03,17:18:53,2
STR-210202-296,Loitering and Harassment,Street Harassment,28.76500957676644,77.17774202065587,2021-02-02,21:14:49,3
VER-210821-363,Assault,Verbal Altercation,28.744512885951465,77.27630787731151,2021-08-21,11:10:23,2
SPE-211121-175,Traffic Violation,Speeding,28.693203788643714,77.25857535729853,2021-11-21,02:38:40,2
PUB-210521-701,Drug Trafficking,Public Intoxication,28.769423301773365,77.26489003805415,2021-05-21,22:35:14,1
ROA-210613-935,Vandalism,Road Sign Graffiti,28.776950578005568,77.17747652469387,2021-06-13,08:04:13,1
STA-210813-271,Loitering and Harassment,Stalking,28.658284443758692,77.17530750761105,2021-08-13,20:29:09,4
ACC-210524-597,Hit-and-Run,Accident Fleeing,28.748373692957692,77.1538282,2021-05-24,18:27:57,4
HIG-210317-048,Kidnapping,Highway Kidnapping,28.724871586266048,77.28262106363059,2021-03-17,15:05:48,5
VER-211114-390,Assault,Verbal Altercation,28.726891073376635,77.26663636246913,2021-11-14,19:04:24,2
STR-210928-117,Loitering and Harassment,Street Harassment,28.751977744027872,77.19209127963667,2021-09-28,00:43:46,3
DAN-210210-003,Illegal Street Racing,Dangerous Driving,28.710794782506927,77.25472099734652,2021-02-10,13:10:29,4
VER-210904-654,Hate Crimes,Verbal Abuse,28.73146433718151,77.2106069424753,2021-09-04,20:19:53,3
PUB-210318-613,Drug Trafficking,Public Intoxication,28.640390730859835,77.13021047087864,2021-03-18,16:58:00,1
VEH-210627-246,Vandalism,Vehicle Damage,28.682549792022197,77.16609464523009,2021-06-27,09:15:03,2
AGG-210225-131,Loitering and Harassment,Aggressive Panhandling,28.681549403664064,77.13716137023101,2021-02-25,17:49:08,2
DAN-210928-951,Illegal Street Racing,Dangerous Driving,28.68431550253918,77.2780852461072,2021-09-28,19:27:13,4
PUB-211121-529,Drug Trafficking,Public Intoxication,28.69316687411663,77.27004792431134,2021-11-21,11:28:57,1
SEX-210601-602,Sexual Crime,Sexual Assault,28.722149680435678,77.21322930009728,2021-06-01,18:35:14,5
REC-210108-880,Traffic Violation,Reckless Driving,28.708500686072917,77.1832700254535,2021-01-08,02:57:02,3
ROA-211116-740,Vandalism,Road Sign Graffiti,28.775120422123205,77.28085996016992,2021-11-16,06:34:08,1
STA-210826-099,Loitering and Harassment,Stalking,28.624615649199043,77.29307418520128,2021-08-26,13:12:06,4
DAN-210828-669,Illegal Street Racing,Dangerous Driving,28.666873796356438,77.19558094982108,2021-08-28,23:03:43,4
DRA-210626-194,Illegal Street Racing,Drag Racing,28.728665899538115,77.16144920374363,2021-06-26,03:15:12,3
HUM-210515-077,Drug Trafficking,Human Trafficking,28.708211313600007,77.30062085407963,2021-05-15,07:55:59,5
SEX-210927-771,Sexual Crime,Sexual Harassment,28.740729716705353,77.28682201444006,2021-09-27,00:05:59,3
REC-210428-168,Traffic Violation,Reckless Driving,28.640406196418432,77.18554171650139,2021-04-28,12:57:03,3
VEH-210810-802,Kidnapping,Vehicle Abduction,28.67152279372238,77.2836493271095,2021-08-10,13:44:46,5
HUM-210402-062,Drug Trafficking,Human Trafficking,28.65910139517952,77.2209641005615,2021-04-02,18:47:34,5
VER-210817-983,Hate Crimes,Verbal Abuse,28.732735010273522,77.17545264226698,2021-08-17,16:10:03,3
PUB-210222-964,Drug Trafficking,Public Intoxication,28.647246414795994,77.3036964872355,2021-02-22,07:25:07,1
AGG-211003-578,Loitering and Harassment,Aggressive Panhandling,28.747755121044694,77.26138180150484,2021-10-03,13:42:37,2
HUM-211211-134,Drug Trafficking,Human Trafficking,28.69165979027148,77.2692620510192,2021-12-11,07:16:25,5
DAN-210201-102,Illegal Street Racing,Dangerous Driving,28.655321442212085,77.28353730563674,2021-02-01,14:39:36,4
VER-210603-161,Assault,Verbal Altercation,28.789872055321656,77.28670191182208,2021-06-03,07:23:18,2
SEX-211117-567,Sexual Crime,Sexual Harassment,28.648483692887623,77.13567910414412,2021-11-17,00:42:52,3
PAR-210309-760,Robbery,Parking Lot Robbery,28.746570329947467,77.30152650994295,2021-03-09,03:56:06,4
PUB-210423-649,Drug Trafficking,Public Intoxication,28.75510824566652,77.11250883881381,2021-04-23,10:13:43,1
PAR-210103-283,Robbery,Parking Lot Robbery,28.63705959978601,77.11054756574256,2021-01-03,20:27:53,4
