CrimeID,CrimeCategory,CrimeType,Latitude,Longitude,CrimeDate,CrimeTime,Severity
SEX-210826-501,Sexual Crime,Sexual Harassment,28.593946940497297,77.3352433800909,2021-08-26,07:40:49,3
BLO-211217-248,Obstruction,Blocking Pedestrian Path,28.613455858193454,77.31246639988592,2021-12-17,06:23:44,1
ILL-210216-378,Obstruction,Illegal Vending,28.67544419815824,77.28699610916513,2021-02-16,01:51:02,1
TOL-210227-056,Fraud,Toll Booth Fraud,28.67223237930051,77.30611913523744,2021-02-27,14:08:24,2
TAR-211017-857,Hate Crimes,Targeted Assault,28.657312803705633,77.29030548873054,2021-10-17,22:02:34,5
HUM-210823-464,Drug Trafficking,Human Trafficking,28.653849184287484,77.2758685009052,2021-08-23,16:49:42,5
BLO-211012-142,Obstruction,Blocking Pedestrian Path,28.64973365366919,77.28733680276795,2021-10-12,02:22:18,1
HUM-210709-111,Drug Trafficking,Human Trafficking,28.65004593868937,77.28140671460997,2021-07-09,11:14:27,5
HIG-211111-145,Kidnapping,Highway Kidnapping,28.62921630746912,77.24719916369278,2021-11-11,17:58:16,5
PUB-210816-296,Drug Trafficking,Public Intoxication,28.611177601398527,77.31448961538436,2021-08-16,15:33:21,1
STR-210603-797,Loitering and Harassment,Street Harassment,28.629467937657328,77.28607135303292,2021-06-03,19:42:54,3
ROA-211223-758,Assault,Road Rage Incident,28.597627538026096,77.3110053554974,2021-12-23,19:06:30,4
SEX-210422-658,Sexual Crime,Sexual Assault,28.66414661692429,77.29689471443949,2021-04-22,10:26:25,5
RAP-211015-067,Sexual Crime,Rape,28.597459376697863,77.32906069550533,2021-10-15,19:07:56,5
DAN-210224-101,Illegal Street Racing,Dangerous Driving,28.623565421884493,77.29765226474592,2021-02-24,03:16:31,4
PIC-210903-281,Theft,Pickpocketing,28.658998598661718,77.31604979173655,2021-09-03,06:13:32,2
TOL-210321-554,Fraud,Toll Booth Fraud,28.60322204444826,77.3354932953623,2021-03-21,23:20:41,2
TOL-210409-832,Fraud,Toll Booth Fraud,28.635880296455202,77.30916371568821,2021-04-09,03:26:20,2
VER-211008-518,Assault,Verbal Altercation,28.679554963871926,77.27071553641285,2021-10-08,00:34:47,2
TOL-210501-924,Fraud,Toll Booth Fraud,28.621616594681292,77.32041177109473,2021-05-01,01:52:07,2
HUM-210804-752,Drug Trafficking,Human Trafficking,28.5952637609103,77.31691134400569,2021-08-04,14:38:51,5
CAR-210810-200,Assault,Carjacking,28.68041211935564,77.28276976557673,2021-08-10,14:01:05,5
DAN-210625-399,Illegal Street Racing,Dangerous Driving,28.607300304058462,77.3121066283409,2021-06-25,03:44:17,4
