CrimeID,CrimeCategory,CrimeType,Latitude,Longitude,CrimeDate,CrimeTime,Severity
DRA-210109-426,Illegal Street Racing,Drag Racing,28.37581945925756,77.33242165951553,2021-01-09,07:10:33,3
CAR-210821-911,Assault,Carjacking,28.390749252432883,77.33274477822772,2021-08-21,20:08:06,5
VEH-210826-919,Theft,Vehicle Theft,28.389226505336424,77.27995621467565,2021-08-26,12:22:26,4
TOL-210523-402,Fraud,Toll Booth Fraud,28.390617982566088,77.2710830022171,2021-05-23,04:58:54,2
HUM-210102-409,Drug Trafficking,Human Trafficking,28.42001598292195,77.33827480637234,2021-01-02,19:41:24,5
TAR-210318-592,Hate Crimes,Targeted Assault,28.371595585353067,77.2825870476903,2021-03-18,22:44:34,5
VEH-210809-081,Theft,Vehicle Theft,28.421531204299832,77.33945703641875,2021-08-09,16:33:11,4
VER-210908-479,Assault,Verbal Altercation,28.381733145462935,77.32137557405794,2021-09-08,10:31:13,2
INS-210911-094,Fraud,Insurance Scam,28.445355638163775,77.29673798238518,2021-09-11,12:48:48,3
PAR-210115-108,Robbery,Parking Lot Robbery,28.427178772853487,77.317947870131,2021-01-15,11:14:44,4
INJ-210219-166,Hit-and-Run,Injury Escape,28.399604476679265,77.344546283061,2021-02-19,15:59:37,5
TAR-210310-199,Hate Crimes,Targeted Assault,28.421722304455177,77.3347654094912,2021-03-10,14:26:38,5
ACC-211225-661,Hit-and-Run,Accident Fleeing,28.424209956733982,77.32155221426032,2021-12-25,01:23:52,4
TOL-210707-241,Fraud,Toll Booth Fraud,28.364952337659567,77.27713671783873,2021-07-07,22:38:42,2
INJ-210625-258,Hit-and-Run,Injury Escape,28.41564248649372,77.30930836423681,2021-06-25,03:28:24,5
TAR-210417-396,Hate Crimes,Targeted Assault,28.422163036994405,77.28602590542891,2021-04-17,22:59:53,5
SPE-211110-748,Traffic Violation,Speeding,28.395249475749395,77.30178107308394,2021-11-10,14:11:48,2
PAR-210701-221,Robbery,Parking Lot Robbery,28.397144361843747,77.36697851578565,2021-07-01,19:03:34,4
VER-210222-355,Hate Crimes,Verbal Abuse,28.404720524259368,77.33117580769591,2021-02-22,10:54:58,3
STR-210507-102,Loitering and Harassment,Street Harassment,28.44513012200695,77.33735128715584,2021-05-07,20:17:17,3
SEX-211008-345,Sexual Crime,Sexual Assault,28.37980927586286,77.31794546381161,2021-10-08,14:45:57,5
PUB-210824-338,Drug Trafficking,Public Intoxication,28.391834000622467,77.31853375125581,2021-08-24,05:33:18,1
ILL-210908-483,Obstruction,Illegal Vending,28.451745189897178,77.30233704294136,2021-09-08,21:14:54,1
ARM-211201-224,Robbery,Armed Robbery,28.39304047229205,77.28279458205172,2021-12-01,15:42:59,5
DRA-210704-575,Illegal Street Racing,Drag Racing,28.44099823715237,77.29763507567318,2021-07-04,17:45:47,3
VER-211206-419,Assault,Verbal Altercation,28.40840137746974,77.28533450601304,2021-12-06,18:48:45,2
VEH-211104-164,Kidnapping,Vehicle Abduction,28.411436793453515,77.28195595744748,2021-11-04,04:34:25,5
SEX-211008-450,Sexual Crime,Sexual Harassment,28.415960484873647,77.31054595920772,2021-10-08,03:08:34,3
BIK-211228-097,Theft,Bike Theft,28.419329570796997,77.3246905198899,2021-12-28,14:34:01,2
ACC-210603-534,Hit-and-Run,Accident Fleeing,28.385495064528012,77.2803938054645,2021-06-03,11:31:25,4
TAR-210810-818,Hate Crimes,Targeted Assault,28.36696893651933,77.29446588357216,2021-08-10,00:57:08,5
VER-210412-319,Assault,Verbal Altercation,28.396703464744046,77.30707347108272,2021-04-12,08:11:34,2
PUB-210406-302,Drug Trafficking,Public Intoxication,28.383839751542215,77.3665460674207,2021-04-06,15:09:43,1
DAN-210424-130,Illegal Street Racing,Dangerous Driving,28.386323455875125,77.35408648186635,2021-04-24,21:54:35,4
RAP-210314-005,Sexual Crime,Rape,28.3945685191058,77.36723627104614,2021-03-14,01:03:29,5
HIG-210419-234,Kidnapping,Highway Kidnapping,28.445613373941118,77.31929476595397,2021-04-19,00:32:33,5
HIG-210718-020,Kidnapping,Highway Kidnapping,28.4267915,77.34634329268198,2021-07-18,05:23:46,5
PAR-210825-399,Robbery,Parking Lot Robbery,28.427257994939136,77.29180346810918,2021-08-25,18:20:54,4
INJ-211106-276,Hit-and-Run,Injury Escape,28.40971423086614,77.2816175980239,2021-11-06,14:24:14,5
RAP-210213-667,Sexual Crime,Rape,28.37915943622384,77.30475899918947,2021-02-13,01:04:33,5
PUB-210118-364,Vandalism,Public Property Destruction,28.399576141785744,77.29715268161002,2021-01-18,10:34:07,3
