CrimeID,CrimeCategory,CrimeType,Latitude,Longitude,CrimeDate,CrimeTime,Severity
INJ-210514-296,Hit-and-Run,Injury Escape,28.500187771622237,77.405066943409,2021-05-14,08:09:04,5
CAR-210611-998,Assault,Carjacking,28.572267077352166,77.4217404492754,2021-06-11,04:42:29,5
ILL-210924-339,Obstruction,Illegal Vending,28.510658100687458,77.35084259618034,2021-09-24,11:08:36,1
MUG-210915-478,Robbery,Mugging,28.538669346287364,77.39697887165839,2021-09-15,19:47:57,4
INJ-210327-827,Hit-and-Run,Injury Escape,28.569464325474765,77.39728862699948,2021-03-27,13:30:20,5
BIK-210205-929,Theft,Bike Theft,28.52322965600421,77.44078235125247,2021-02-05,17:53:40,2
VER-211223-139,Hate Crimes,Verbal Abuse,28.547362497610212,77.34357503380814,2021-12-23,15:47:22,3
DAN-210528-689,Illegal Street Racing,Dangerous Driving,28.543875384448626,77.43279984560172,2021-05-28,07:22:34,4
STA-210723-401,Loitering and Harassment,Stalking,28.56636027786618,77.43686054127906,2021-07-23,17:30:44,4
TAR-211212-751,Hate Crimes,Targeted Assault,28.55056060230428,77.34747799967485,2021-12-12,18:12:52,5
DRA-210626-637,Illegal Street Racing,Drag Racing,28.57949172667605,77.40562812471899,2021-06-26,00:29:15,3
PED-210228-659,Assault,Pedestrian Attack,28.572745073772328,77.39389739607687,2021-02-28,01:57:02,5
BLO-211005-444,Obstruction,Blocking Pedestrian Path,28.53574189752067,77.42894713592457,2021-10-05,03:11:48,1
VEH-210720-025,Kidnapping,Vehicle Abduction,28.561496351464395,77.35449759315873,2021-07-20,15:26:07,5
BLO-210423-183,Obstruction,Blocking Pedestrian Path,28.538535101392412,77.43718354417646,2021-04-23,09:21:36,1
DRA-210419-817,Illegal Street Racing,Drag Racing,28.546176688576864,77.43270935504783,2021-04-19,19:08:17,3
ROA-210605-369,Vandalism,Road Sign Graffiti,28.496824842490252,77.39042792021094,2021-06-05,04:29:46,1
PUB-210725-736,Vandalism,Public Property Destruction,28.57273917247463,77.40626858501504,2021-07-25,01:32:48,3
ACC-210605-251,Hit-and-Run,Accident Fleeing,28.57383840294946,77.3473670962246,2021-06-05,12:02:20,4
BIK-210210-970,Theft,Bike Theft,28.498691433732343,77.39005134938608,2021-02-10,05:07:34,2
BLO-210312-465,Obstruction,Blocking Pedestrian Path,28.570637815845792,77.36350317372118,2021-03-12,00:06:55,1
TOL-210419-408,Fraud,Toll Booth Fraud,28.571529350277533,77.40248463460388,2021-04-19,01:03:11,2
STR-210107-992,Loitering and Harassment,Street Harassment,28.495492024331636,77.39727257432878,2021-01-07,17:02:45,3
DRU-210117-507,Traffic Violation,Drunk Driving,28.509025338565976,77.3595742456102,2021-01-17,14:15:17,4
SPE-210807-212,Traffic Violation,Speeding,28.555978925899378,77.42158622994111,2021-08-07,12:45:34,2
