CrimeID,CrimeCategory,CrimeType,Latitude,Longitude,CrimeDate,CrimeTime,Severity
ACC-210925-839,Hit-and-Run,Accident Fleeing,28.73768054024669,77.0558750343136,2021-09-25,05:02:50,4
DRA-210809-310,Illegal Street Racing,Drag Racing,28.727738266773667,77.05497674909657,2021-08-09,02:31:08,3
SPE-210701-311,Traffic Violation,Speeding,28.799890380491966,77.03881196706513,2021-07-01,03:28:59,2
MUG-210302-387,Robbery,Mugging,28.73636671233472,77.09036765283483,2021-03-02,07:45:38,4
TOL-211124-055,Fraud,Toll Booth Fraud,28.785832953624272,77.06268332287105,2021-11-24,06:24:04,2
PED-210701-050,Assault,Pedestrian Attack,28.727986090230203,77.05586834280086,2021-07-01,20:28:42,5
VER-210423-637,Hate Crimes,Verbal Abuse,28.743684744782083,77.10021827833143,2021-04-23,13:16:39,3
TAR-210203-345,Hate Crimes,Targeted Assault,28.806125819534454,77.05468346567892,2021-02-03,13:09:57,5
SEX-210702-802,Sexual Crime,Sexual Assault,28.741236695209373,77.09478126310096,2021-07-02,17:19:48,5
STR-211001-267,Loitering and Harassment,Street Harassment,28.805028978597015,77.03386586224703,2021-10-01,04:13:50,3
TOL-210115-073,Fraud,Toll Booth Fraud,28.732316900524886,77.0583409406328,2021-01-15,00:52:53,2
ILL-210703-741,Obstruction,Illegal Vending,28.75324239522898,77.0798433643695,2021-07-03,03:55:55,1
REC-211120-047,Traffic Violation,Reckless Driving,28.727880624977853,77.06940701378717,2021-11-20,01:46:11,3
TOL-210823-126,Fraud,Toll Booth Fraud,28.776131920182223,77.10090055035016,2021-08-23,13:36:38,2
AGG-211226-571,Loitering and Harassment,Aggressive Panhandling,28.804631508197282,77.0960755790392,2021-12-26,05:16:21,2
SPE-211026-425,Traffic Violation,Speeding,28.743649248144354,77.11551715033055,2021-10-26,08:32:44,2
INJ-210623-939,Hit-and-Run,Injury Escape,28.725861197819018,77.09224923377938,2021-06-23,04:43:29,5
STE-210827-666,Theft,Stealing from Vehicle,28.731826030631616,77.09288798093829,2021-08-27,07:32:48,3
PIC-210821-756,Theft,Pickpocketing,28.73079074390989,77.04930434926308,2021-08-21,16:59:40,2
STR-211027-805,Loitering and Harassment,Street Harassment,28.738215931107682,77.09290401303787,2021-10-27,19:12:55,3
ROA-210211-860,Vandalism,Road Sign Graffiti,28.802988409262383,77.0795252239919,2021-02-11,00:41:36,1
BLO-210123-554,Obstruction,Blocking Pedestrian Path,28.76847810979339,77.07905366293774,2021-01-23,20:09:07,1
STR-211222-815,Loitering and Harassment,Street Harassment,28.789646919273967,77.05616219033503,2021-12-22,10:53:18,3
ROA-211119-004,Vandalism,Road Sign Graffiti,28.77960882794775,77.07366091175037,2021-11-19,19:49:26,1
STE-211003-547,Theft,Stealing from Vehicle,28.80646122002288,77.08492596561668,2021-10-03,09:36:08,3
BLO-210304-564,Obstruction,Blocking Pedestrian Path,28.741348661994206,77.09127640356094,2021-03-04,04:44:43,1
HUM-210424-231,Drug Trafficking,Human Trafficking,28.757007302324386,77.07077964097319,2021-04-24,08:47:50,5
