CrimeID,CrimeCategory,CrimeType,Latitude,Longitude,CrimeDate,CrimeTime,Severity
BLO-210913-935,Obstruction,Blocking Pedestrian Path,28.521745670726506,77.0192416990135,2021-09-13,01:46:39,1
VEH-210609-613,Theft,Vehicle Theft,28.522181578988306,77.04162753224264,2021-06-09,06:43:38,4
TOL-210828-079,Fraud,Toll Booth Fraud,28.529625466133396,76.98569521897848,2021-08-28,08:22:13,2
REC-210721-166,Traffic Violation,Reckless Driving,28.577778636087395,77.00933923537315,2021-07-21,11:53:58,3
PIC-210225-760,Theft,Pickpocketing,28.600451120458093,76.97829733867084,2021-02-25,09:42:49,2
ACC-210406-597,Hit-and-Run,Accident Fleeing,28.522476495971702,77.0208207451702,2021-04-06,09:14:05,4
ROA-210818-305,Assault,Road Rage Incident,28.557365106673082,77.04763705689668,2021-08-18,22:59:43,4
STE-210719-104,Theft,Stealing from Vehicle,28.526505010052244,77.02341933839097,2021-07-19,17:17:45,3
HUM-210618-045,Drug Trafficking,Human Trafficking,28.58070105638932,77.02589756130746,2021-06-18,02:26:16,5
TOL-210206-629,Fraud,Toll Booth Fraud,28.546804633705005,76.98685474594203,2021-02-06,03:28:31,2
ILL-210720-199,Obstruction,Illegal Vending,28.601070546358006,77.00336956976749,2021-07-20,00:34:10,1
PUB-210520-702,Vandalism,Public Property Destruction,28.601082932025278,77.00244398253643,2021-05-20,15:46:16,3
ACC-210223-753,Hit-and-Run,Accident Fleeing,28.59417977295126,77.02290813447613,2021-02-23,16:54:22,4
SPE-211014-789,Traffic Violation,Speeding,28.57271569796046,77.03034103013032,2021-10-14,15:37:52,2
HIG-210517-162,Kidnapping,Highway Kidnapping,28.534763151879016,77.04999736403414,2021-05-17,20:56:52,5
PAR-211025-295,Robbery,Parking Lot Robbery,28.59508324112692,76.99669078855415,2021-10-25,08:23:01,4
MUG-210219-584,Robbery,Mugging,28.557667109857714,77.06750445009445,2021-02-19,05:33:11,4
DRA-210127-163,Illegal Street Racing,Drag Racing,28.593052836441924,76.99307797103216,2021-01-27,05:09:22,3
PAR-210612-297,Robbery,Parking Lot Robbery,28.578431286162782,77.02267587626666,2021-06-12,03:05:56,4
INS-210620-311,Fraud,Insurance Scam,28.53427959115575,77.05811170655642,2021-06-20,05:12:51,3
DRA-211023-741,Illegal Street Racing,Drag Racing,28.59499171891264,76.97979990112931,2021-10-23,15:19:20,3
REC-210824-521,Traffic Violation,Reckless Driving,28.591816531765613,76.98645213443471,2021-08-24,12:07:33,3
SEX-210903-624,Sexual Crime,Sexual Harassment,28.514290995797328,77.04364971574407,2021-09-03,07:42:55,3
ROA-210627-824,Vandalism,Road Sign Graffiti,28.599289155824227,76.98136804483038,2021-06-27,15:03:13,1
