CrimeID,CrimeCategory,CrimeType,Latitude,Longitude,CrimeDate,CrimeTime,Severity
TAR-210408-692,Hate Crimes,Targeted Assault,28.708234313338373,77.16177296543924,2021-04-08,04:47:06,5
BLO-210103-616,Obstruction,Blocking Pedestrian Path,28.720649497599453,77.22871633653976,2021-01-03,06:14:32,1
BIK-210914-284,Theft,Bike Theft,28.688431986463797,77.25999943857856,2021-09-14,07:28:37,2
BIK-210505-104,Theft,Bike Theft,28.69401052981434,77.17180579540863,2021-05-05,06:48:21,2
CAR-210620-747,Assault,Carjacking,28.740928024565857,77.12898258912189,2021-06-20,08:51:02,5
PUB-210527-882,Drug Trafficking,Public Intoxication,28.689190810950503,77.28966934048225,2021-05-27,20:39:56,1
VEH-211108-238,Kidnapping,Vehicle Abduction,28.651878486708256,77.12922824000971,2021-11-08,09:05:54,5
CAR-210606-686,Assault,Carjacking,28.697399155531112,77.28075481998548,2021-06-06,11:22:13,5
PUB-211021-250,Vandalism,Public Property Destruction,28.64878927039292,77.2330815931869,2021-10-21,05:34:46,3
INJ-211123-332,Hit-and-Run,Injury Escape,28.680309708248387,77.27915308260928,2021-11-23,17:14:43,5
BIK-210709-965,Theft,Bike Theft,28.72353304954508,77.14933785274033,2021-07-09,02:13:58,2
DAN-210721-142,Illegal Street Racing,Dangerous Driving,28.61604399228851,77.28513225727262,2021-07-21,14:09:16,4
PAR-211219-408,Robbery,Parking Lot Robbery,28.74203678693972,77.16667489907927,2021-12-19,13:57:37,4
VEH-210225-156,Kidnapping,Vehicle Abduction,28.701440104111057,77.30601537017418,2021-02-25,01:55:07,5
TAR-210213-541,Hate Crimes,Targeted Assault,28.65491317124244,77.30097864670402,2021-02-13,12:38:29,5
PUB-210222-787,Vandalism,Public Property Destruction,28.66694385622766,77.1650932987832,2021-02-22,17:48:17,3
VER-210315-736,Hate Crimes,Verbal Abuse,28.756216933520463,77.27999065346926,2021-03-15,00:46:56,3
PUB-210228-654,Vandalism,Public Property Destruction,28.699137059989578,77.2806484630396,2021-02-28,20:19:53,3
STA-210318-613,Loitering and Harassment,Stalking,28.672434299538015,77.25848807393648,2021-03-18,16:58:00,4
KID-210627-246,Kidnapping,Kidnapping,28.682549792022197,77.16609464523009,2021-06-27,09:15:03,5
DRA-210225-131,Illegal Street Racing,Drag Racing,28.681549403664064,77.13716137023101,2021-02-25,17:49:08,3
VER-210928-951,Hate Crimes,Verbal Abuse,28.684303299927574,77.27831505941401,2021-09-28,19:27:13,3
STA-210513-448,Loitering and Harassment,Stalking,28.6873015131128,77.16899765022657,2021-05-13,21:41:23,4
STR-210211-235,Loitering and Harassment,Street Harassment,28.733312461342102,77.30374054325961,2021-02-11,00:37:35,3
DRA-211102-032,Illegal Street Racing,Drag Racing,28.615349746316667,77.29665307626013,2021-11-02,07:04:57,3
VEH-211116-740,Kidnapping,Vehicle Abduction,28.776378334850957,77.27962914937177,2021-11-16,06:34:08,5
DAN-210707-441,Illegal Street Racing,Dangerous Driving,28.706513220150217,77.21388869786045,2021-07-07,03:06:42,4
KID-211202-100,Kidnapping,Kidnapping,28.68194128098704,77.19955817251262,2021-12-02,21:41:41,5
PIC-210208-459,Theft,Pickpocketing,28.689599103190336,77.25843733543728,2021-02-08,06:12:34,2
INJ-210428-882,Hit-and-Run,Injury Escape,28.697117167718947,77.29634409014449,2021-04-28,02:28:51,5
AGG-210927-771,Loitering and Harassment,Aggressive Panhandling,28.71518324244886,77.1800524757782,2021-09-27,00:05:59,2
MUG-210428-168,Robbery,Mugging,28.64006789881044,77.18531195968495,2021-04-28,12:57:03,4
SEX-210810-802,Sexual Crime,Sexual Assault,28.67165045815389,77.28339967740759,2021-08-10,13:44:46,5
STA-210410-753,Loitering and Harassment,Stalking,28.68865482105244,77.2736679170344,2021-04-10,06:03:37,4
AGG-210119-873,Loitering and Harassment,Aggressive Panhandling,28.645770397231928,77.10667998293012,2021-01-19,15:32:58,2
AGG-210228-069,Loitering and Harassment,Aggressive Panhandling,28.732526364204332,77.17355980306671,2021-02-28,05:04:38,2
TAR-211008-634,Hate Crimes,Targeted Assault,28.64963328598801,77.20369767575416,2021-10-08,18:38:02,5
CAR-210911-733,Assault,Carjacking,28.665121671099172,77.28334865643399,2021-09-11,08:13:42,5
VEH-211121-951,Kidnapping,Vehicle Abduction,28.652181273514444,77.29068189536443,2021-11-21,09:29:20,5
ROA-211004-518,Assault,Road Rage Incident,28.656645087113233,77.28664589809863,2021-10-04,02:34:13,4
ROA-210412-853,Vandalism,Road Sign Graffiti,28.629310580167363,77.21629889630496,2021-04-12,09:10:28,1
STA-211117-567,Loitering and Harassment,Stalking,28.731358911972116,77.2645627609121,2021-11-17,00:42:52,4
PUB-210309-760,Vandalism,Public Property Destruction,28.746570329947467,77.30152650994295,2021-03-09,03:56:06,3
AGG-210423-649,Loitering and Harassment,Aggressive Panhandling,28.75510824566652,77.11250883881381,2021-04-23,10:13:43,2
PUB-210103-283,Vandalism,Public Property Destruction,28.637780029673614,77.11100768440205,2021-01-03,20:27:53,3
VEH-211109-564,Theft,Vehicle Theft,28.651757817272802,77.29279556692693,2021-11-09,05:47:28,3
ILL-210223-854,Obstruction,Illegal Vending,28.7540980203829,77.17423545648634,2021-02-23,04:34:02,1
VEH-210512-215,Kidnapping,Vehicle Abduction,28.648773940019563,77.16019359911215,2021-05-12,01:57:22,5
TAR-210928-158,Hate Crimes,Targeted Assault,28.647828399304817,77.10976563378254,2021-09-28,13:39:47,5
MUG-210106-801,Robbery,Mugging,28.71211097495537,77.2143320353596,2021-01-06,23:59:21,4
SEX-210506-893,Sexual Crime,Sexual Harassment,28.699593253691113,77.26044254952485,2021-05-06,22:06:24,4
PIC-210812-892,Theft,Pickpocketing,28.72393555483969,77.26807664662958,2021-08-12,09:52:50,2
MUG-210711-990,Robbery,Mugging,28.70404165578742,77.18026888127154,2021-07-11,08:55:04,4
VEH-211127-118,Vandalism,Vehicle Damage,28.670493407164464,77.13539581555771,2021-11-27,17:21:01,2
ROA-210502-353,Vandalism,Road Sign Graffiti,28.671342752239443,77.11246689688758,2021-05-02,03:38:27,1
ILL-210904-194,Obstruction,Illegal Vending,28.6572930146583,77.19646069028839,2021-09-04,12:57:36,1
ROA-210926-962,Vandalism,Road Sign Graffiti,28.636270096878448,77.17933747114897,2021-09-26,17:43:46,1
BLO-211111-868,Obstruction,Blocking Pedestrian Path,28.744688605341278,77.20471385961814,2021-11-11,19:20:42,1
PED-210711-567,Assault,Pedestrian Attack,28.76670677289223,77.30220255518358,2021-07-11,12:44:18,5
ACC-210722-630,Hit-and-Run,Accident Fleeing,28.6470316759933,77.12918277712575,2021-07-22,23:57:11,4
DAN-210110-804,Illegal Street Racing,Dangerous Driving,28.666255665096035,77.13865135693224,2021-01-10,09:13:27,4
